video_id,RU1,RU2,RU3,RU4,RU5,RU6,LU1,LU2,LU3,LU4,LU5,LU6,RD1,RD2,RD3,RD4,RD5,RD6,LD1,LD2,LD3,LD4,LD5,LD6
video026_001.csv,0.331438287,0.71663041,0.740822709,0.737679839,0.724056144,0.446736369,0.361603303,0.786832813,0.771942446,0.785387327,0.792579285,0.457510701,0.20608802,0.218091663,0.272349838,0.257059184,0.235125932,0.021471475,0.199250173,0.211616076,0.290444675,0.268424386,0.234546799,0.067620704
video026_001flip.csv,0.350341964,0.750474066,0.766453396,0.771317631,0.775449194,0.50048738,0.312548228,0.708787884,0.749849922,0.75511344,0.737631583,0.409270574,0.189860677,0.183466303,0.269203379,0.230142346,0.194036283,0.086875737,0.18338804,0.200455087,0.280145568,0.253511879,0.215204024,0.026607557
video026_002.csv,0.125645592,0.385110254,0.705731695,0.731112402,0.734518827,0.672818963,0.145210531,0.3746516,0.768277099,0.786049327,0.779837223,0.756025793,0.003293279,0.147225938,0.293787976,0.35911199,0.391948953,0.310124654,0.01905362,0.187946847,0.356660726,0.407405824,0.44370952,0.302749405
video026_002flip.csv,0.214259001,0.508368853,0.761416851,0.741979018,0.724730625,0.693447761,0.194253958,0.47441062,0.746742955,0.729466546,0.728856283,0.641506783,0.031810234,0.193222936,0.454369623,0.454486958,0.447076954,0.267404236,0.012324287,0.166192901,0.388855929,0.403828991,0.422189037,0.270711484
video026_003.csv,0.067735048,0.648349122,0.783977552,0.781921061,0.771595382,0.614307434,0.145138699,0.585969119,0.747611811,0.747086928,0.765208425,0.557258956,0.055262491,0.116810135,0.219918372,0.226957006,0.222258133,0.022371105,0.061064642,0.19436767,0.297223608,0.283599916,0.275710996,0.031822264
video026_003flip.csv,0.147695559,0.461833226,0.759992535,0.741712973,0.727542776,0.58900128,0.126881581,0.445836403,0.7442665,0.7418779,0.768477556,0.547484619,0.033566682,0.135199108,0.241214686,0.274059636,0.293314341,0.022559516,0.010998729,0.106322858,0.22881538,0.22595904,0.225076333,0.072023537
video026_004.csv,0.232103288,0.566679874,0.726000788,0.718172336,0.713460126,0.438185629,0.237051948,0.553455132,0.808333719,0.787268588,0.815691906,0.512477748,0.143441096,0.408247207,0.698581827,0.676492925,0.666225481,0.129485545,0.125494468,0.48278142,0.760731651,0.762974471,0.740688007,0.017568494
video026_004flip.csv,0.13477731,0.373414011,0.939961845,0.95858833,0.82449006,0.59850212,0.116920855,0.38193915,0.937690236,0.967281749,0.833924396,0.562778687,0.036492838,0.325072213,0.917778025,0.976138045,0.825601524,0.294627591,0.029614677,0.275111311,0.680233426,0.71816504,0.653710914,0.315677003
video026_005.csv,0.311194461,0.648364656,0.702910953,0.72705462,0.722726987,0.417122321,0.341283137,0.699128314,0.793787741,0.80682803,0.822851928,0.494742298,0.059813593,0.153152543,0.267923026,0.253162412,0.239857807,0.013603171,0.077659939,0.176354421,0.263504976,0.261806691,0.258957937,0.094899767
video026_005flip.csv,0.33973565,0.665318806,0.764835688,0.77628372,0.775123983,0.492206259,0.331343707,0.659547649,0.734205671,0.747603855,0.752478568,0.421640844,0.086206578,0.168380639,0.275392568,0.252169848,0.235782314,0.036115985,0.091954915,0.191797572,0.270165951,0.262271331,0.268059461,0.014720054
